Hora/Tiempo,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7
9/10/2023 2:16,"2 (pg51, 32)","6 (pg51, 32)","18.8 (pg51, 32)","2.8 (pg51, 32)","1.2 (pg51, 32)","1.7 (pg51, 32)","0.7 (pg51, 32)"
9/10/2023 2:56,0,0,0,0,0,0,0
9/10/2023 3:36,"1.5 (pg51, 32)","6.5 (pg51, 32)","18.1 (pg51, 32)","1.6 (pg51, 32)","2.1 (pg51, 32)","0.5 (pg51, 32)","0.7 (pg51, 32)"
9/10/2023 4:16,"0.9 (pg51, 32)","4.6 (pg51, 32)","17.3 (pg51, 32)","0.5 (pg51, 32)","0.2 (pg51, 32)","0.4 (pg51, 32)","0.6 (pg51, 32)"
9/10/2023 4:56,0,0,0,0,0,0,0
9/10/2023 5:36,"1.5 (pg51, 32)","6.2 (pg51, 32)","18.1 (pg51, 32)","0.6 (pg51, 32)","2.2 (pg51, 32)","0.4 (pg51, 32)","0.6 (pg51, 32)"
9/10/2023 6:16,"1.4 (pg51, 32)","6.1 (pg51, 32)","18 (pg51, 32)","0.7 (pg51, 32)","2.2 (pg51, 32)","0.5 (pg51, 32)","0.7 (pg51, 32)"
9/10/2023 6:56,"85.5 (pg71, 19)","92.4 (pg71, 27)","89.8 (pg51, 11)","47.7 (pg51, 16)","46.4 (pg71, 37)","72.8 (pg71, 21)","100 (pg71, 10)"
9/10/2023 7:36,"86.5 (pg71, 19)","92.3 (pg71, 27)","90 (pg51, 11)","47.2 (pg51, 16)","46.4 (pg71, 37)","69.6 (pg71, 21)","100 (pg71, 10)"
9/10/2023 8:16,"100 (pg90, 26)","93.1 (pg71, 27)","90.5 (pg51, 11)","47.2 (pg51, 16)","46.3 (pg71, 37)","69 (pg71, 21)","100 (pg90, 9)"
9/10/2023 8:56,"100 (pg90, 26)","95.1 (pg71, 27)","90.1 (pg51, 11)","47 (pg51, 16)","46.1 (pg71, 37)","64.1 (pg71, 21)","100 (pg90, 9)"
9/10/2023 9:36,"100 (pg90, 26)","95.1 (pg71, 27)","89.3 (pg51, 11)","46.6 (pg51, 16)","45.6 (pg71, 37)","59.8 (pg71, 21)","100 (pg90, 9)"
9/10/2023 10:16,"100 (pg90, 26)","95.1 (pg71, 27)","89.1 (pg51, 11)","46.4 (pg51, 16)","45.4 (pg71, 37)","58.1 (pg71, 21)","100 (pg90, 9)"
9/10/2023 10:56,"100 (pg90, 26)","95.9 (pg71, 27)","89.3 (pg51, 11)","46.4 (pg51, 16)","45.6 (pg71, 37)","58.4 (pg71, 21)","100 (pg90, 9)"
9/10/2023 11:36,"100 (pg90, 26)","95.7 (pg71, 27)","89.5 (pg51, 11)","46.4 (pg51, 16)","45.1 (pg71, 37)","57.9 (pg71, 21)","100 (pg90, 9)"
9/10/2023 12:16,"100 (pg90, 26)","95 (pg71, 27)","91.9 (pg51, 11)","46.4 (pg51, 16)","45.4 (pg71, 37)","58.3 (pg41, 21)","100 (pg31, 7)"
9/10/2023 12:57,"100 (pg41, 36)","95.6 (pg71, 27)","88.9 (pg51, 11)","46.3 (pg51, 16)","45 (pg71, 37)","58.4 (pg41, 21)","100 (pg90, 9)"
9/10/2023 13:36,"100 (pg41, 36)","96.3 (pg71, 27)","90.9 (pg51, 11)","46.2 (pg51, 16)","45.1 (pg71, 37)","59.4 (pg41, 21)","100 (pg71, 10)"
9/10/2023 14:16,"100 (pg41, 36)","95.5 (pg71, 27)","91.2 (pg51, 11)","46.1 (pg51, 16)","45.1 (pg71, 37)","57.9 (pg41, 21)","100 (pg71, 10)"
9/10/2023 14:56,"100 (pg41, 36)","95 (pg71, 27)","92.1 (pg51, 11)","46.2 (pg51, 16)","44.9 (pg71, 37)","59.4 (pg41, 21)","100 (pg41, 24)"
9/10/2023 15:36,"100 (pg41, 36)","95.9 (pg71, 27)","91.8 (pg51, 11)","45.5 (pg51, 16)","45.1 (pg71, 37)","57.8 (pg41, 21)","100 (pg71, 10)"
9/10/2023 16:16,"100 (pg41, 40)","95.9 (pg71, 27)","92.1 (pg51, 11)","45.7 (pg51, 16)","44.9 (pg71, 37)","57.9 (pg41, 21)","100 (pg41, 9)"
9/10/2023 16:56,"100 (pg41, 40)","95.1 (pg71, 27)","91.3 (pg51, 11)","45.7 (pg51, 16)","44.8 (pg71, 37)","57.6 (pg41, 21)","100 (pg71, 10)"
9/10/2023 17:36,"100 (pg41, 39)","96.3 (pg71, 27)","90.1 (pg51, 11)","45.7 (pg51, 16)","44.8 (pg71, 37)","57.4 (pg41, 21)","100 (pg90, 9)"
9/10/2023 18:16,"100 (pg41, 40)","96.6 (pg71, 27)","90.1 (pg51, 11)","45.8 (pg51, 16)","44.8 (pg71, 37)","57.3 (pg41, 21)","100 (pg90, 9)"
9/10/2023 18:56,"100 (pg41, 39)","97.3 (pg71, 27)","90.2 (pg51, 11)","45.7 (pg51, 16)","45 (pg71, 37)","57.4 (pg41, 21)","100 (pg90, 9)"
9/10/2023 19:36,"100 (pg41, 40)","96.5 (pg71, 27)","89.6 (pg51, 11)","45.7 (pg51, 16)","44.6 (pg71, 37)","56.6 (pg41, 21)","100 (pg41, 9)"
9/10/2023 20:23,"0.7 (pg51, 32)","6.3 (pg51, 32)","19 (pg51, 32)","1.5 (pg51, 32)","0.4 (pg51, 32)","0.5 (pg51, 32)","0.7 (pg51, 32)"
9/10/2023 20:56,0,0,0,0,0,0,0
9/10/2023 21:36,"0.5 (pg51, 32)","6.3 (pg51, 32)","17.9 (pg51, 32)","0.7 (pg51, 32)","0.4 (pg51, 32)","0.5 (pg51, 32)","0.4 (pg51, 32)"
9/10/2023 22:16,"0.4 (pg51, 32)","5.9 (pg51, 32)","17.5 (pg51, 32)","0.6 (pg51, 32)","0.3 (pg51, 32)","0.4 (pg51, 32)","0.4 (pg51, 32)"
9/10/2023 22:56,"0.4 (pg51, 32)","6.2 (pg51, 32)","17.7 (pg51, 32)","0.8 (pg51, 32)","0.4 (pg51, 32)","0.5 (pg51, 32)","0.6 (pg51, 32)"
9/10/2023 23:36,"100 (pg41, 40)","93.8 (pg71, 27)","88.3 (pg51, 11)","47 (pg51, 16)","45.4 (pg71, 37)","68.5 (pg41, 4)","100 (pg41, 9)"
9/11/2023 0:16,"100 (pg41, 36)","95.5 (pg71, 27)","68 (pg90, 8)","39.1 (pg41, 45)","46 (pg71, 37)","64.9 (pg71, 21)","100 (pg31, 7)"
9/11/2023 0:56,"100 (pg41, 36)","95.3 (pg71, 27)","69.1 (pg90, 8)","39.4 (pg41, 45)","45.7 (pg71, 37)","59.3 (pg41, 21)","100 (pg71, 10)"
9/11/2023 1:35,"100 (pg41, 36)","94.1 (pg71, 27)","69.3 (pg90, 8)","39.8 (pg41, 45)","45.4 (pg71, 37)","57.5 (pg41, 21)","100 (pg41, 37)"
9/11/2023 2:16,"100 (pg90, 26)","94.8 (pg71, 27)","69.7 (pg90, 8)","40.1 (pg41, 45)","45.3 (pg71, 37)","57.1 (pg41, 21)","100 (pg71, 10)"
